"id","explanation_text","explanation_type","recommendation_id","created_at"
1,"Esta canção combina rock e disco, criando uma fusão sonora inovadora e cativante. Seus ritmos vibrantes e refrão envolvente estimulam a exploração de novos horizontes musicais. A batida dançante promete inspirar a criatividade, enquanto a letra intensa ressoa profundamente, incentivando a reflexão e desafiando normas convencionais de estilo e gênero.",0,6,2025-01-21 02:44:49.805
2,"A faixa se destaca por seu ritmo energético, marcado por riffs de guitarra cativantes e uma seção rítmica sólida. O vocal principal é acompanhado por harmonias envolventes. A estrutura sólida, com variações dinâmicas entre versos e refrão, mantém o ouvinte engajado. Ideal para quem aprecia sonoridade clássica e marcante.",5,5,2025-01-21 02:44:49.805
3,"Com batidas envolventes e energia crua, esta faixa oferece uma liberação emocional poderosa. Sua autenticidade e irreverência inspiram confiança e aceitação, promovendo um senso de pertencimento. A entrega enérgica transforma tensões internas, enquanto o ritmo vibrante eleva o espírito, motivando mudanças positivas e cultivando coragem para enfrentar desafios emocionais.",4,4,2025-01-21 02:44:49.805
4,"Essa melodia possui uma beleza melancólica que ressoa profundamente, oferecendo um espaço de introspecção e empatia. Sua letra poética explora vulnerabilidade e esperança, elementos que tocam aqueles que valorizam relações humanas autênticas. A canção incentiva uma conexão emocional sincera, promovendo reflexão pessoal e conforto em momentos difíceis da vida.",3,3,2025-01-21 02:44:49.805
5,"Essa canção energizante motiva com ritmo contagiante e letra incitante à ação, inspirando eficiência e determinação. A melodia vibrante e arranjo dinâmico refletem foco e precisão. Ideal para iniciar tarefas, reforçando um ambiente produtivo e harmonioso. Une positividade e objetivo, transformando o dia-a-dia numa experiência estimulante e recompensadora.",1,2,2025-01-21 02:44:49.805
6,"Repleta de energia e narrativa envolvente, a melodia cativante e os instrumentos vibrantes capturam atenções e estimulam conversas animadas. Sua progressão dinâmica e atmosferas climáticas oferecem um cenário perfeito para explorar ideias ousadas e experiências compartilhadas. A expressão artística rica em detalhes proporciona momentos de conexão e celebração autêntica, despertando inspirações coletivas.",2,1,2025-01-21 02:44:49.805
34,"Essa música traz uma energia intensa e um ritmo poderoso que ressoam com pessoas dedicadas. A batida firme inspira foco e determinação, enquanto a letra encoraja enfrentar desafios com coragem. Ela serve como trilha sonora perfeita, motivando o progresso constante e a superação de obstáculos com habilidade e precisão.",1,39,2025-01-23 18:32:00.353
35,"Seu ritmo suave e melodia envolvente criam uma atmosfera harmoniosa que equilibra a energia vibrante dos ouvintes, proporcionando momentos de reflexão e conexão emocional. A música inspira criatividade e imaginação, transformando-a em um pano de fundo ideal para encontros sociais, estimulando conversas significativas e um ambiente caloroso e acolhedor.",2,38,2025-01-23 18:32:00.353
36,"Recomendo uma faixa que combina riffs intensos de guitarra com uma percussão poderosa, resultando em uma experiência auditiva energizante. Os vocais alternam entre uma melodia cativante e poderosos gritos, criando uma dinâmica envolvente. A produção é impecável, permitindo que todos os elementos instrumentais brilhem em perfeita harmonia, enquanto a estrutura musical mantém o ouvinte cativado.",5,37,2025-01-23 18:32:00.353
37,"Esta melodia transporta o ouvinte para paisagens sonoras etéreas, estimulando a fantasia e a introspecção. Seus acordes suaves e ritmos delicados incentivam a exploração mental e a jornada interior. Ideal para quem aprecia a beleza do inesperado, oferece um espaço ilimitado para a mente divagar e criar realidades alternativas envolventes.",0,36,2025-01-23 18:32:00.353
38,"Esta peça oferece serenidade e tranquilidade, com melodias suaves que acalmam a mente. Sua harmonia evoca uma sensação de paz, reduzindo tensões e suavizando emoções intensas. O fluxo musical promove introspecção, permitindo reflexão e relaxamento. É um refúgio sonoro que inspira confiança, equilíbrio interno e uma perspectiva renovada.",4,35,2025-01-23 18:32:00.353
39,"A energia vibrante e nostálgica traz alegria, despertando memórias doces e sentimentos de leveza. Melodias cativantes e um ritmo animado criam uma experiência sonora calorosa e acolhedora. Os temas positivos e o som eufórico incentivam conexão, empatia e celebração da bondade intrínseca, proporcionando um momento de felicidade e harmonia interior.",3,34,2025-01-23 18:32:00.353
40,"Esta balada poderosa evoca emoções profundas e conexão sincera, refletindo uma alma sensível e empática. A melodia suave e a letra poética tocam o coração, promovendo introspecção e compreensão. Seus acordes evocam tranquilidade e ternura, ressoando com aqueles que valorizam a autenticidade, cuidado e a beleza nas relações verdadeiras.",3,45,2025-01-24 19:10:49.544
41,"Essa canção oferece um som calmante e letras reconfortantes que transmitem aceitação e esperança. Sua melodia suave ajuda a relaxar, enquanto a mensagem emocional destaca resiliência e paz interior. Permite uma conexão profunda, incentivando autocompaixão e equilíbrio emocional em meio à turbulência interior, promovendo uma sensação de tranquilidade e renovação pessoal.",4,44,2025-01-24 19:10:49.544
42,"Com batidas energéticas e um refrão cativante, esta música anima qualquer ambiente, incentivando interações animadas. O som vibrante promove uma atmosfera de festa, ideal para quem gosta de ser o centro das atenções e compartilhar momentos de alegria. É perfeita para levantar o astral e iniciar conversas descontraídas.",2,43,2025-01-24 19:10:49.544
43,"Com batidas cativantes e enérgicas, a música oferece uma vibe animada que complementa uma mentalidade focada. Seus ritmos consistentes e letra envolvente criam um ambiente motivador, ideal para quem aprecia estrutura e harmonia. A colaboração única entre os artistas adiciona profundidade, proporcionando estímulo perfeito para produtividade e clareza.",1,42,2025-01-24 19:10:49.544
44,"Com melodia envolvente e harmonia vocal suave, esta canção apresenta uma estrutura acústica simples, destacando-se pelo arranjo de piano e sutis acordes de guitarra. A letra introspectiva e a interpretação autêntica se entrelaçam perfeitamente, criando uma experiência auditiva cativante, ideal para momentos de reflexão e apreciação dos detalhes musicais.",5,41,2025-01-24 19:10:49.544
45,"Uma sonoridade eletrizante combina rock alternativo com letras enigmáticas, estimulando pensamentos e interpretações únicas. Cada acorde e verso carrega emoção e mistério, convidando à exploração e introspecção. Ritmos dinâmicos proporcionam uma experiência sonora inovadora, perfeita para quem busca estímulos criativos e gosta de se perder em atmosferas complexas e cativantes.",0,40,2025-01-24 19:10:49.544
46,"Esta música cativante é perfeita para festas eletrizantes, com uma batida envolvente que inspira confiança e animação. A letra audaciosa e energética incentiva a ousadia e a celebração, tornando-se trilha sonora ideal para noites inesquecíveis. Sua vibração eletrônica cria uma atmosfera contagiante, ideal para quem busca diversão intensa com amigos.",2,51,2025-01-25 16:18:10.219
47,"Esta faixa cativante apresenta uma melodia contagiante, um refrão facilmente memorizável e uma instrumentação vibrante com ênfase em acordes de teclado e guitarras rítmicas. Os vocais harmoniosos e envolventes são acompanhados por um acompanhamento rítmico animado, resultando em uma experiência auditiva dinâmica que captura a atenção desde os primeiros compassos.",5,50,2025-01-25 16:18:10.219
48,"Essa faixa captura a essência de dias ensolarados e serenidade com suas melodias suaves e letras sinceras. Transmite uma sensação de paz e otimismo, refletindo relações harmoniosas e momentos felizes. A instrumentação delicada e a entrega vocal emocional são ideais para aqueles que apreciam conforto e conexão autêntica com o mundo ao seu redor.",3,49,2025-01-25 16:18:10.219
49,"Essa música exala confiança e energia, proporcionando um impulso positivo imediato. Seus ritmos vibrantes e letras encorajadoras promovem determinação e autoafirmação. Ouví-la pode ajudar a superar dúvidas, elevar o ânimo e oferecer uma sensação de controle e poder pessoal, reafirmando a força interior e cultivando otimismo renovado.",4,48,2025-01-25 16:18:10.219
50,"A energia intensa e a batida contagiante podem energizar aqueles que apreciam estrutura e ritmo. As letras transmitem uma mensagem forte, ressoando com quem valoriza determinação e perseverança. A música é um lembrete poderoso de resiliência, estimulando a concentração e proporcionando uma trilha sonora inspiradora para enfrentar desafios com vigor.",1,47,2025-01-25 16:18:10.219
51,"Essa faixa mistura eletrônica com toques emocionais, criando uma jornada sonora única. A letra inspiradora incentiva a superar desafios, embalados por batidas empolgantes. A combinação de ritmos inovadores e mensagens motivacionais ressoa com aqueles que buscam explorar novos horizontes e experimentar a música como uma forma de arte transformadora.",0,46,2025-01-25 16:18:10.219
52,"A melodia suave e otimista promove calma, enquanto a batida cativante energiza positivamente, oferecendo um refúgio sonoro. A letra aborda descobertas emocionais e autoaceitação, incentivando um sentimento de empoderamento. A combinação de voz doce e instrumental envolvente ajuda a elevar o espírito e aliviar tensões, proporcionando conforto e esperança.",4,57,2025-01-25 16:20:32.073
53,"A melodia suave e as harmonias delicadas dessa música transportam o ouvinte para um universo sonoro rico em emoções e nuances. As letras envolventes e poéticas estimulam a introspecção, enquanto a combinação única de instrumentos ressoa com aqueles que apreciam texturas musicais complexas, oferecendo uma experiência auditiva verdadeiramente transformadora.",0,56,2025-01-25 16:20:32.073
54,"Esta faixa apresenta riffs impactantes e poderosos, acompanhados por uma bateria intensa que mantém um ritmo energético e cativante. A vocalização marcante possui uma entrega forte e determinada, enriquecida por uma produção polida que destaca cada elemento instrumental, proporcionando uma experiência auditiva memorável e envolvente, repleta de dinâmica e força sonora.",5,55,2025-01-25 16:20:32.073
55,"A energia pulsante e os batidas eletrônicas intensas transformam qualquer ambiente em uma festa vibrante. Os ritmos cativantes e as letras poderosas incentivam a confiança e a expressão. Ideal para dançar, cantar e se envolver com outros de maneira animada, oferecendo uma trilha sonora eletrizante para momentos de pura diversão coletiva.",2,54,2025-01-25 16:20:32.073
56,"Para indivíduos que apreciam a estrutura e a estratégia, essa faixa oferece um ritmo energizante e otimista que inspira perseverança. A batida marcante e a letra encorajadora ressoam com aqueles que enfrentam desafios com determinação. Essa combinação energiza e promove foco, mantendo o ouvinte motivado em suas tarefas diárias.",1,53,2025-01-25 16:20:32.073
